"DaysSince";"NumberOfRooms";"Address";"GlobalId";"Price";"AgentId";"AgentName";"MobileURL";"PlotArea";"Postcode";"Products";"URL";"SalesStatus";"WGS84_X";"WGS84_Y";"LivingArea";"City";"PropertyType"
2 maanden;3;Sam van Houtenstraat 195 e;3829792;250000;24512;Moerland makelaardij o.g. b.v.;http://m.funda.nl/obj.aspx?goi=3829792;NA;1067JG;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49274155-sam-van-houtenstraat-195-e/;Verkocht onder voorbehoud;4.800804;52.37912;90;Amsterdam;appartement
2 maanden;6;Swammerdamstraat 8 hs;3825904;1125000;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3825904;NA;1091RT;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49270367-swammerdamstraat-8-hs/;Verkocht onder voorbehoud;4.906959;52.35877;208;Amsterdam;appartement
2 maanden;3;Ferdinand Bolstraat 16 A;3811484;675000;24648;Heeren Makelaars;http://m.funda.nl/obj.aspx?goi=3811484;NA;1072LJ;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49266847-ferdinand-bolstraat-16-a/;Verkocht onder voorbehoud;4.890522;52.35707;91;Amsterdam;appartement
3 maanden;2;J.C. van Epenstraat 48;3789675;245000;10102;Puur Makelaars Amsterdam Centrum;http://m.funda.nl/obj.aspx?goi=3789675;NA;1019GV;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49134038-jc-van-epenstraat-48/;Verkocht onder voorbehoud;4.944657;52.36833;59;Amsterdam;appartement
3 maanden;5;Okeghemstraat 10 III;3786743;1e+06;24648;Heeren Makelaars;http://m.funda.nl/obj.aspx?goi=3786743;NA;1075PM;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49131106-okeghemstraat-10-iii/;Verkocht onder voorbehoud;4.862617;52.35209;136;Amsterdam;appartement
5 maanden;4;Narva Eiland West (Bouwnr. 79);3694665;663098;24605;Hallie & Van Klooster Makelaardij;http://m.funda.nl/obj.aspx?goi=3694665;NA;1013;Brochure;http://www.funda.nl/koop/amsterdam/appartement-49049028-narva-eiland-west-bouwnr-79/;StatusBeschikbaar;4.894955;52.38232;121;Amsterdam;appartement
2 maanden;2;Raasdorperweg 76;3817236;350000;7108;WLTM;http://m.funda.nl/obj.aspx?goi=3817236;600;1067TL;Brochure;http://www.funda.nl/koop/amsterdam/huis-49262699-raasdorperweg-76/;StatusBeschikbaar;4.761195;52.37334;60;Amsterdam;woonhuis
8 weken;3;Pontsteiger 131;3839992;970000;24065;Carla van den Brink B.V.;http://m.funda.nl/obj.aspx?goi=3839992;NA;1014ZP;Brochure;http://www.funda.nl/koop/amsterdam/appartement-49284355-pontsteiger-131/;StatusBeschikbaar;4.885676;52.3934;117;Amsterdam;appartement
5 weken;4;Dwergvinvisstraat 98;3866620;275000;63246;De Buurtmakelaar;http://m.funda.nl/obj.aspx?goi=3866620;83;1035HR;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/huis-85675629-dwergvinvisstraat-98/;Verkocht onder voorbehoud;4.887494;52.42272;113;Amsterdam;woonhuis
7 weken;8;Albert Cuypstraat 157;3853004;1500000;17413;IREA Makelaars BV;http://m.funda.nl/obj.aspx?goi=3853004;56;1073BC;list();http://www.funda.nl/koop/amsterdam/huis-49208467-albert-cuypstraat-157/;StatusBeschikbaar;4.893736;52.35575;154;Amsterdam;woonhuis
